timestamp,/motor_status_x,/motor_status_y,/motor_status_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/load_data_x,/load_data_y,/load_data_z
1767723320.2509067,0.0,0.0,0.0,,,,,,,
1767723320.2594762,,,,0.0,-0.0,0.0,,,,
1767723320.2657056,,,,,,,0,,,
1767723320.265882,,,,,,,,276.7005,263.1125,177.9145
1767723320.3008661,0.0,0.0,0.0,,,,,,,
1767723320.3060064,,,,,,,1,,,
1767723320.309415,,,,0.0,-0.0,0.0,,,,
1767723320.3168862,,,,,,,,276.7005,263.1125,177.911
1767723320.3484607,0.0,0.0,0.0,,,,,,,
1767723320.3537197,,,,,,,2,,,
1767723320.3605838,,,,0.0,-0.0,0.0,,,,
1767723320.3645124,,,,,,,,141.8905,263.1125,133.476
1767723320.4007916,0.0,0.0,0.0,,,,,,,
1767723320.4078538,,,,,,,3,,,
1767723320.4089677,,,,0.0,-0.0,0.0,,,,
1767723320.4194977,,,,,,,,141.8905,263.1125,133.476
1767723320.4482749,0.0,0.0,0.0,,,,,,,
1767723320.4546738,,,,,,,4,,,
1767723320.4599848,,,,0.0,-0.0,0.0,,,,
1767723320.4635756,,,,,,,,141.8905,263.1125,177.962
1767723320.4983287,0.0,0.0,0.0,,,,,,,
1767723320.5048316,,,,,,,5,,,
1767723320.5106285,,,,0.0,-0.0,0.0,,,,
1767723320.5143418,,,,,,,,276.0715,263.1125,177.858
1767723320.5495834,0.0,0.0,0.0,,,,,,,
1767723320.55359,,,,,,,6,,,
1767723320.559729,,,,0.0,-0.0,0.0,,,,
1767723320.5617533,,,,,,,,276.0715,263.1125,177.9255
1767723320.5992718,0.0,0.0,0.0,,,,,,,
1767723320.603462,,,,,,,7,,,
1767723320.6099167,,,,0.0,-0.0,0.0,,,,
1767723320.6125634,,,,,,,,276.0715,263.1125,182.539
1767723320.6486082,0.0,0.0,0.0,,,,,,,
1767723320.6551583,,,,,,,8,,,
1767723320.6595979,,,,0.0,-0.0,0.0,,,,
1767723320.664707,,,,,,,,276.0715,263.1125,182.539
1767723320.6996047,0.0,0.0,0.0,,,,,,,
1767723320.703918,,,,,,,9,,,
1767723320.7163222,,,,0.0,-0.0,0.0,,,,
1767723320.7164092,,,,,,,,276.0915,263.1125,177.8645
1767723320.7499075,0.0,0.0,0.0,,,,,,,
1767723320.7535841,,,,,,,10,,,
1767723320.759914,,,,0.0,-0.0,0.0,,,,
1767723320.765185,,,,,,,,276.0915,11.185,177.9995
