timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/motor_status_x,/motor_status_y,/motor_status_z,/video_frames_z
1767723867.9142091,298.844,280.7205,108.648,,,,,,,
1767723867.9159515,,,,0.0,-0.0,0.0,,,,
1767723867.9363873,,,,,,,0.0,0.0,0.0,
1767723867.959331,298.844,280.7205,205.379,,,,,,,
1767723867.962106,,,,0.0,-0.0,0.0,,,,
1767723867.974508,,,,,,,,,,0
1767723867.986916,,,,,,,0.0,0.0,0.0,
1767723868.0020201,298.844,280.7205,205.379,,,,,,,
1767723868.018886,,,,0.0,-0.0,0.0,,,,
1767723868.0351229,,,,,,,,,,1
1767723868.0382094,,,,,,,0.0,0.0,0.0,
1767723868.0563965,298.844,280.7205,209.479,,,,,,,
1767723868.062155,,,,0.0,-0.0,0.0,,,,
1767723868.071642,,,,,,,,,,2
1767723868.0880544,,,,,,,0.0,0.0,0.0,
1767723868.100213,298.844,280.7205,209.479,,,,,,,
1767723868.1166,,,,0.0,-0.0,0.0,,,,
1767723868.1311383,,,,,,,,,,3
1767723868.1390157,,,,,,,0.0,0.0,0.0,
1767723868.1568854,298.844,280.7205,108.6875,,,,,,,
1767723868.1673849,,,,0.0,-0.0,0.0,,,,
1767723868.1772373,,,,,,,,,,4
1767723868.1883252,,,,,,,0.0,0.0,0.0,
1767723868.2068543,298.844,280.7205,108.6875,,,,,,,
1767723868.2156389,,,,0.0,-0.0,0.0,,,,
1767723868.2271016,,,,,,,,,,5
1767723868.2371137,,,,,,,0.0,0.0,0.0,
1767723868.2516148,298.844,280.7205,108.6875,,,,,,,
1767723868.2643075,,,,0.0,-0.0,0.0,,,,
1767723868.2741475,,,,,,,,,,6
1767723868.2894812,,,,,,,0.0,0.0,0.0,
1767723868.3014119,298.844,280.7205,43.521,,,,,,,
1767723868.317245,,,,0.0,-0.0,0.0,,,,
1767723868.3307688,,,,,,,,,,7
1767723868.3398666,,,,,,,0.0,0.0,0.0,
1767723868.3548992,298.844,280.7205,154.204,,,,,,,
1767723868.3622751,,,,0.0,-0.0,0.0,,,,
1767723868.3705134,,,,,,,,,,8
1767723868.3864913,,,,,,,0.0,0.0,0.0,
1767723868.4027069,298.844,280.7205,154.204,,,,,,,
1767723868.4157047,,,,0.0,-0.0,0.0,,,,
1767723868.4191954,,,,,,,,,,9
