timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/motor_status_x,/motor_status_y,/motor_status_z
1767723988.5015512,311.788,148.2955,63.985,,,,,,,
1767723988.5178585,,,,0.0,-0.0,0.0,,,,
1767723988.5221794,,,,,,,0,,,
1767723988.5358446,,,,,,,,0.0,6.0,0.0
1767723988.546719,311.788,148.2955,201.9285,,,,,,,
1767723988.5616174,,,,0.0,-0.0,0.0,,,,
1767723988.5679824,,,,,,,1,,,
1767723988.5861776,,,,,,,,0.0,6.0,0.0
1767723988.5978181,159.742,148.2955,203.629,,,,,,,
1767723988.6143205,,,,0.0,-0.0,0.0,,,,
1767723988.621821,,,,,,,2,,,
1767723988.6360722,,,,,,,,0.0,6.0,0.0
1767723988.648883,159.742,148.2955,203.611,,,,,,,
1767723988.6633902,,,,0.0,-0.0,0.0,,,,
1767723988.6676066,,,,,,,3,,,
1767723988.6855733,,,,,,,,0.0,6.0,0.0
1767723988.696612,159.742,148.2955,201.779,,,,,,,
1767723988.7125552,,,,0.0,-0.0,0.0,,,,
1767723988.7181227,,,,,,,4,,,
1767723988.7359304,,,,,,,,0.0,6.0,0.0
1767723988.7471807,159.742,286.255,203.7075,,,,,,,
1767723988.762565,,,,0.0,-0.0,0.0,,,,
1767723988.7667313,,,,,,,5,,,
1767723988.7856936,,,,,,,,0.0,6.0,0.0
1767723988.7960706,159.742,286.255,3719.63,,,,,,,
1767723988.8132732,,,,0.0,-0.0,0.0,,,,
1767723988.8174074,,,,,,,6,,,
1767723988.837468,,,,,,,,0.0,6.0,0.0
1767723988.8468368,159.742,286.255,203.6795,,,,,,,
1767723988.864052,,,,0.0,-0.0,0.0,,,,
1767723988.8671832,,,,,,,7,,,
1767723988.8857756,,,,,,,,0.0,6.0,0.0
1767723988.8962078,159.742,286.255,203.6515,,,,,,,
1767723988.9126163,,,,0.0,-0.0,0.0,,,,
1767723988.9171143,,,,,,,8,,,
1767723988.9353309,,,,,,,,0.0,6.0,0.0
1767723988.94639,159.742,286.232,203.766,,,,,,,
1767723988.9617095,,,,0.0,-0.0,0.0,,,,
